stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
PTCH1,Patache,47.27094514,-1.61918524,3,2
RSCO1,Robert Scott,47.18692832,-1.45899957,3,2
HERM3,Hermeland,47.22970505,-1.61666533,3,1
PVT95,Porte de Vertou,47.18072185,-1.50569795,3,1
HAVE2,Halvêque,47.25721795,-1.52055259,0,1
MGIN5,Mangin,47.20108723,-1.5459434,3,2
OLIV2,Olivier,47.21746962,-1.72482009,3,1
ISLE2,Islettes,47.26335503,-1.47636628,3,2
FORU3,Forum d'Orvault,47.25401746,-1.61508982,3,2
EGAN2,Eglantine,47.23514479,-1.58834224,3,1
OGVA1,Orvault Grand Val,47.26196131,-1.59236998,0,1
SFEL3,St-Félix,47.23154179,-1.55639716,3,2
EDNA1,Édit de Nantes,47.21440578,-1.56869401,3,1
SOWE1,Soweto,47.23330119,-1.65163707,3,2
VIAR1,Viarme-Talensac,47.22155067,-1.56279316,0,1
PLTI2,Platière,47.19454583,-1.56108865,3,2
NRCA1,Noë Rocard,47.16340931,-1.49045412,3,2
NBEL2,Nouveau Bêle,47.26897277,-1.50192926,3,2
COLI1,Colinière,47.23587021,-1.50836278,3,1
TLDI1,Télindière,47.19620951,-1.737223,3,1
SILL4,Sillon de Bretagne,47.24554784,-1.60849996,3,2
AMPE1,Ampère,47.26072504,-1.55319084,3,1
BDPA4,Bout des Pavés,47.25400007,-1.57626784,3,2
LRYA1,Le Gray 2,47.28335549,-1.58401365,3,1
AMER2,Américains,47.23579689,-1.56789162,3,1
MNVE1,Maison Neuve,47.27473998,-1.46732416,3,2
RMAU2,Roche Maurice,47.19618931,-1.61828349,3,1
BRET2,Bretonnière,47.16633493,-1.46276026,3,1
SMHI2,St-Mihiel,47.22314487,-1.55341032,0,1
CEDR1,Cèdre,47.29944073,-1.56025341,3,2
GEVR1,Gesvres,47.26386262,-1.5486032,3,1
ANTO1,Antons,47.25765319,-1.62261111,3,1
MDLA2,Moulin des Landes,47.26207207,-1.48147269,3,1
BOCE1,Centre de Bouguenais,47.17923473,-1.62188977,3,1
BSNI1,Bussonnière,47.26894613,-1.44305606,3,1
GSNO1,Gare Nord - Jardin des Plantes,47.2178434,-1.54229871,0,1
JUIV2,Juiverie,47.210851,-1.62491755,3,1
HAV59,Halvêque,47.25709026,-1.5206545,3,1
BRTA2,Bretagne,47.2170707,-1.55818626,0,1
MDNE2,Madeleine,47.27563804,-1.48361964,3,1
PVTO6,Porte de Vertou,47.18113532,-1.50569592,3,1
ORNG2,La Chapelle Aulnay,47.30851128,-1.5402926,3,2
PDEA1,Porteurs d'Eau,47.27148994,-1.59767026,3,2
HMLL2,Houmaille,47.18907145,-1.58700912,3,1
EGL59,Égalité,47.20907138,-1.58777253,3,1
QSCO1,Quai Surcouf,47.19485573,-1.57787423,3,1
ESOR2,Écoles,47.14665531,-1.52899878,3,1
OCEA4,Couëron Océan,47.21341719,-1.73917976,3,2
CHSS1,Chaussée,47.1766578,-1.52100989,3,1
PB1B1,Parc de la Bouvre,47.17610035,-1.61304671,3,1
DUTR2,Duguay Trouin,47.22423991,-1.61644652,3,1
MOTE2,Motte Rouge,47.22772917,-1.55434663,0,1
TZEL4,Touzelles,47.20834245,-1.46688875,3,2
BDEL1,Baudelaire,47.23363734,-1.59309258,3,1
GCHE1,Gachet,47.29331867,-1.52392422,3,2
GRVI1,Guerivières,47.20536088,-1.46747769,3,2
CGAU1,Cimetière Gaudinière,47.24289239,-1.58288922,3,1
CAPE1,Capellia,47.27977047,-1.55491868,3,1
ARAG1,Arago,47.3035053,-1.50484787,3,1
PTON3,Portillon,47.14918426,-1.46799421,3,2
BYTO1,Bouaye Coteaux,47.16441304,-1.67924951,3,2
VEAG2,Véga,47.27969162,-1.46453227,3,2
COAY1,Corlay,47.20794484,-1.64414014,3,1
BEIL1,Beillevaire,47.24955677,-1.60739497,3,1
FRII1,François II,47.21842841,-1.68319067,3,1
